id;train_loss;train_acc;val_acc;val_loss
0;1.594625;0.435042;0.444444;
1;1.357216;0.512515;0.488889;
2;1.250529;0.522050;0.511111;
3;1.134208;0.593564;0.483333;
4;1.090459;0.591180;0.500000;
5;1.009450;0.619785;0.505556;
6;0.934657;0.647199;0.427778;
7;0.862843;0.666269;0.488889;
8;0.784235;0.713945;0.450000;
9;0.776667;0.712753;0.461111;
10;0.710732;0.729440;0.483333;
11;0.673595;0.740167;0.483333;
12;0.682887;0.741359;0.461111;
13;0.640315;0.756853;0.544444;
14;0.585876;0.774732;0.466667;
15;0.594394;0.779499;0.472222;
16;0.565738;0.792610;0.511111;
17;0.545720;0.810489;0.488889;
18;0.504227;0.814064;0.461111;
19;0.504722;0.818832;0.527778;
20;0.442589;0.835518;0.438889;
21;0.446094;0.840286;0.494444;
22;0.384940;0.868892;0.466667;
23;0.379526;0.871275;0.483333;
24;0.377040;0.864124;0.483333;
25;0.385261;0.856973;0.544444;
26;0.356216;0.876043;0.516667;
27;0.351323;0.878427;0.483333;
28;0.341701;0.886770;0.505556;
29;0.327045;0.892729;0.483333;
30;0.310018;0.901073;0.511111;
31;0.286317;0.905840;0.505556;
32;0.316649;0.890346;0.488889;
33;0.259591;0.921335;0.427778;
34;0.291943;0.899881;0.527778;
35;0.246661;0.922527;0.511111;
36;0.243333;0.916567;0.522222;
37;0.223811;0.923719;0.522222;
38;0.222377;0.928486;0.477778;
39;0.219622;0.930870;0.466667;
40;0.210425;0.926103;0.472222;
41;0.223317;0.920143;0.466667;
42;0.222746;0.916567;0.505556;
43;0.201898;0.930870;0.438889;
44;0.192825;0.943981;0.544444;
45;0.192488;0.922527;0.466667;
46;0.192391;0.940405;0.455556;
47;0.183772;0.938021;0.488889;
48;0.183663;0.942789;0.455556;
49;0.182176;0.943981;0.538889;
50;0.189426;0.943981;0.550000;
51;0.165387;0.948749;0.477778;
52;0.165840;0.946365;0.527778;
53;0.190793;0.930870;0.516667;
54;0.145201;0.963051;0.527778;
55;0.152066;0.951132;0.538889;
56;0.151918;0.952324;0.538889;
57;0.147420;0.957092;0.516667;
58;0.139465;0.957092;0.511111;
59;0.164156;0.941597;0.511111;
60;0.162432;0.941597;0.511111;
61;0.115584;0.965435;0.488889;
62;0.148366;0.948749;0.500000;
63;0.129746;0.952324;0.561111;
64;0.153639;0.939213;0.527778;
65;0.114706;0.963051;0.494444;
66;0.114675;0.965435;0.544444;
67;0.127913;0.954708;0.566667;
68;0.131153;0.958284;0.527778;
69;0.116966;0.964243;0.472222;
70;0.112987;0.972586;0.555556;
71;0.130801;0.953516;0.544444;
72;0.115757;0.965435;0.538889;
73;0.115123;0.955900;0.544444;
74;0.111811;0.961859;0.505556;
75;0.138378;0.947557;0.500000;
76;0.111478;0.953516;0.500000;
77;0.114096;0.963051;0.477778;
78;0.113101;0.955900;0.500000;
79;0.105441;0.965435;0.516667;
80;0.098736;0.963051;0.505556;
81;0.099422;0.959476;0.516667;
82;0.103156;0.963051;0.544444;
83;0.095955;0.965435;0.483333;
84;0.082645;0.977354;0.538889;
85;0.095356;0.964243;0.561111;
86;0.103428;0.966627;0.538889;
87;0.071249;0.980930;0.527778;
88;0.086414;0.970203;0.533333;
89;0.092269;0.970203;0.522222;
90;0.089161;0.964243;0.550000;
91;0.072647;0.973778;0.577778;
92;0.091593;0.973778;0.550000;
93;0.076186;0.969011;0.538889;
94;0.079529;0.972586;0.538889;
95;0.076946;0.971395;0.572222;
96;0.073572;0.978546;0.544444;
97;0.069040;0.976162;0.550000;
98;0.083447;0.970203;0.538889;
99;0.077908;0.969011;0.555556;
100;0.076795;0.969011;0.511111;
101;0.080840;0.970203;0.566667;
102;0.071313;0.974970;0.544444;
103;0.066456;0.976162;0.538889;
104;0.066932;0.971395;0.550000;
105;0.072380;0.972586;0.522222;
106;0.093654;0.961859;0.533333;
107;0.068280;0.977354;0.527778;
108;0.099411;0.961859;0.572222;
109;0.059575;0.971395;0.588889;
110;0.059152;0.979738;0.538889;
111;0.065843;0.972586;0.572222;
112;0.064356;0.974970;0.538889;
113;0.063194;0.976162;0.511111;
114;0.069288;0.978546;0.566667;
115;0.065791;0.974970;0.566667;
116;0.054267;0.974970;0.544444;
117;0.050806;0.982122;0.583333;
118;0.069613;0.970203;0.588889;
119;0.067572;0.973778;0.577778;
120;0.065447;0.977354;0.566667;
121;0.057779;0.976162;0.572222;
122;0.052486;0.976162;0.488889;
123;0.069837;0.973778;0.577778;
124;0.060715;0.973778;0.588889;
125;0.069621;0.966627;0.572222;
126;0.059445;0.976162;0.572222;
127;0.058844;0.974970;0.561111;
128;0.047455;0.979738;0.588889;
129;0.063042;0.974970;0.566667;
130;0.055853;0.978546;0.550000;
131;0.054033;0.977354;0.572222;
132;0.060507;0.974970;0.555556;
133;0.059343;0.972586;0.561111;
134;0.059094;0.978546;0.583333;
135;0.047054;0.982122;0.561111;
136;0.056130;0.977354;0.566667;
137;0.047016;0.983313;0.527778;
138;0.048528;0.983313;0.561111;
139;0.054771;0.976162;0.505556;
140;0.052076;0.978546;0.511111;
141;0.044798;0.979738;0.494444;
142;0.057692;0.974970;0.566667;
143;0.054864;0.976162;0.550000;
144;0.053441;0.978546;0.522222;
145;0.057707;0.982122;0.583333;
146;0.056016;0.971395;0.561111;
147;0.050031;0.982122;0.566667;
148;0.050458;0.978546;0.583333;
149;0.055849;0.974970;0.555556;
150;0.043665;0.976162;0.550000;
151;0.042186;0.976162;0.555556;
152;0.045438;0.980930;0.550000;
153;0.046945;0.979738;0.555556;
154;0.043270;0.984505;0.538889;
155;0.046113;0.983313;0.566667;
156;0.044061;0.984505;0.555556;
157;0.044202;0.982122;0.583333;
158;0.038130;0.980930;0.522222;
159;0.035900;0.986889;0.561111;
160;0.057250;0.978546;0.566667;
161;0.045739;0.980930;0.550000;
162;0.035886;0.984505;0.588889;
163;0.050621;0.977354;0.561111;
164;0.057059;0.976162;0.522222;
165;0.044266;0.977354;0.555556;
166;0.048369;0.982122;0.566667;
167;0.050407;0.976162;0.533333;
168;0.045186;0.973778;0.577778;
169;0.040160;0.978546;0.583333;
170;0.057770;0.978546;0.611111;
171;0.035040;0.983313;0.588889;
172;0.043295;0.976162;0.594444;
173;0.048655;0.979738;0.588889;
174;0.031808;0.983313;0.516667;
175;0.048465;0.977354;0.544444;
176;0.045926;0.979738;0.516667;
177;0.041527;0.982122;0.550000;
178;0.041689;0.983313;0.572222;
179;0.034762;0.982122;0.572222;
180;0.044169;0.977354;0.533333;
181;0.043896;0.974970;0.555556;
182;0.038546;0.984505;0.538889;
183;0.027913;0.989273;0.566667;
184;0.046652;0.977354;0.572222;
185;0.038182;0.986889;0.527778;
186;0.042872;0.979738;0.561111;
187;0.043782;0.979738;0.527778;
188;0.035177;0.980930;0.544444;
189;0.046448;0.976162;0.538889;
190;0.036846;0.984505;0.550000;
191;0.039457;0.977354;0.577778;
192;0.038953;0.982122;0.572222;
193;0.045531;0.980930;0.561111;
194;0.036041;0.979738;0.561111;
195;0.042003;0.978546;0.544444;
196;0.040261;0.982122;0.550000;
197;0.028725;0.986889;0.583333;
198;0.038387;0.982122;0.555556;
199;0.030935;0.985697;0.577778;
200;0.037569;0.982122;0.588889;
201;0.027040;0.988081;0.555556;
202;0.029484;0.983313;0.555556;
203;0.027726;0.986889;0.577778;
204;0.034803;0.984505;0.588889;
205;0.030770;0.985697;0.550000;
206;0.035479;0.982122;0.566667;
207;0.029010;0.980930;0.527778;
208;0.034835;0.986889;0.561111;
209;0.037714;0.980930;0.588889;
210;0.048715;0.976162;0.555556;
211;0.024393;0.989273;0.561111;
212;0.046032;0.976162;0.511111;
213;0.023765;0.986889;0.600000;
214;0.028618;0.986889;0.611111;
215;0.030464;0.986889;0.583333;
216;0.025490;0.984505;0.533333;
217;0.031217;0.982122;0.527778;
218;0.030521;0.988081;0.594444;
219;0.030701;0.984505;0.588889;
220;0.029470;0.983313;0.583333;
221;0.031880;0.984505;0.566667;
222;0.039909;0.978546;0.566667;
223;0.030441;0.980930;0.583333;
224;0.031774;0.982122;0.577778;
225;0.026495;0.984505;0.566667;
226;0.031580;0.985697;0.577778;
227;0.032463;0.980930;0.588889;
228;0.033166;0.977354;0.611111;
229;0.037010;0.980930;0.600000;
230;0.031216;0.980930;0.616667;
231;0.030234;0.983313;0.566667;
232;0.039915;0.973778;0.555556;
233;0.025835;0.980930;0.577778;
234;0.031094;0.983313;0.600000;
235;0.027597;0.985697;0.594444;
236;0.028121;0.986889;0.538889;
237;0.033791;0.982122;0.561111;
238;0.032130;0.982122;0.572222;
239;0.034522;0.984505;0.583333;
240;0.036835;0.974970;0.561111;
241;0.025764;0.980930;0.600000;
242;0.027967;0.989273;0.583333;
243;0.022668;0.989273;0.583333;
244;0.039580;0.982122;0.577778;
245;0.039689;0.979738;0.577778;
246;0.035594;0.985697;0.594444;
247;0.031710;0.984505;0.577778;
248;0.032741;0.983313;0.577778;
249;0.030231;0.982122;0.583333;
